id,str/sq,PES,Bond length [A],Energy [kcal / mol]
"(18, 31)",str,PES01,3.500000000674597,-9714.953280561056
"(18, 31)",str,PES02,3.600000000693871,-9277.61982054417
"(18, 31)",str,PES03,3.700000000713146,-9253.252245119358
"(18, 31)",str,PES04,3.8000000007324197,-9269.664786966114
"(18, 31)",str,PES05,3.9000000007516933,-9268.294701586892
"(18, 31)",str,PES06,4.000000000770968,-9526.429073807207
"(18, 31)",str,PES07,4.100000000790242,-9526.496644232555
"(18, 31)",str,PES08,4.200000000809517,-9524.715740456604
"(18, 31)",str,PES09,4.300000000828789,-9457.405062436264
"(18, 31)",str,PES10,4.400000000848065,-9516.845298844473
"(18, 31)",str,PES11,4.500000000867339,-9526.156274577384
"(18, 31)",str,PES12,4.600000000886614,-9515.731815461371
"(18, 31)",str,PES13,4.700000000905886,-9562.128619617422
"(18, 31)",str,PES14,4.800000000925162,-9541.905355967741
"(18, 31)",str,PES15,4.900000000944436,-9648.277020265277
"(18, 31)",str,PES16,5.00000000096371,-9699.611057393311
"(18, 31)",str,PES17,5.100000000982985,-9720.27111858155
"(18, 31)",str,PES18,5.200000001002258,-9581.102720293955
"(18, 58)",sq,PES06,1.8000000003469354,-9313.490418389641
"(18, 58)",sq,PES05,1.9000000003662092,-9369.244449543665
"(18, 58)",sq,PES04,2.0000000003854836,-9377.723696741974
"(18, 58)",sq,PES03,2.1000000004047576,-9370.679081308706
"(18, 58)",sq,PES02,2.200000000424032,-9376.387897395362
"(18, 58)",sq,PES01,2.300000000443306,-9374.898815341432
"(18, 58)",str,PES01,2.300000000443306,-9374.927864486304
"(18, 58)",str,PES02,2.4000000004625814,-9368.485527856683
"(18, 58)",str,PES03,2.500000000481855,-9367.186701425997
"(18, 58)",str,PES04,2.600000000501129,-9353.416977623998
"(18, 58)",str,PES05,2.700000000520403,-9367.80470138029
"(18, 58)",str,PES06,2.800000000539678,-9367.98828034137
